accession	virus_name	genus	family	source
MN770501.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770502.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770503.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770506.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770507.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770508.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770511.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770513.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770514.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770515.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770516.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770519.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770520.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770525.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770526.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770527.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770529.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770531.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770532.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770533.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770535.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770537.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770538.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770541.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770543.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770544.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770546.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770552.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770554.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770555.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770556.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770558.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770559.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770560.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770563.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770564.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770565.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770567.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770569.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770576.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770577.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770579.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770581.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770584.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770585.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770588.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770589.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770590.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770593.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770597.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770598.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770600.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770601.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770602.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770603.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770607.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770608.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770610.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770614.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770617.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770622.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770623.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770624.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770626.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770627.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770630.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770631.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770632.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770644.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770646.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770647.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770649.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770650.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770651.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770652.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770653.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770655.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770656.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770658.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770659.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770660.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770662.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770663.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770670.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770671.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770672.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770673.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770678.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770682.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770683.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770684.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770685.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770687.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770692.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770695.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770696.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770697.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770698.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770700.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770701.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770702.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770703.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770706.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770707.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770708.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770710.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770711.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770713.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770714.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770717.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770719.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770724.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770725.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770726.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770728.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770732.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770733.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770736.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770737.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770740.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770748.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770750.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770753.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770758.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770760.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770761.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770770.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770776.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770778.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770779.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770781.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770782.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770783.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770786.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770788.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770789.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770790.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770792.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770794.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770795.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770800.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770801.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770805.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770807.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770808.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770809.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770811.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770812.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770813.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770814.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770815.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770817.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770819.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770821.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770822.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770823.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770827.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770828.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770834.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770836.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770844.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770848.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770849.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770853.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770856.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770859.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770860.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770861.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770862.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770863.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770864.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770865.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770866.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770867.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770868.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770869.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770875.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770876.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770877.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770885.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770888.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770889.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770890.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770894.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770895.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770896.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770897.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770901.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770904.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770905.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770906.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770907.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770908.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770910.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770912.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770913.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770914.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770915.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770918.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770919.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770920.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770922.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770926.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770928.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770933.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770935.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770936.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770937.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770940.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770944.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770946.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770952.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770956.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770957.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770958.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770959.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770962.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770963.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770965.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770966.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770967.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770970.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770971.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770973.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770983.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770986.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770989.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770990.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770991.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770992.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770993.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770994.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770995.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN770998.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771004.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771006.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771009.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771013.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771016.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771017.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771023.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771024.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771027.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771030.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771038.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771039.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771041.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771042.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771043.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771044.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771045.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771046.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771048.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771051.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771055.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771056.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771057.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771059.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771061.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771063.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771065.1	TTV-like mini virus	Hetorquevirus	Anelloviridae	clareaulab
MN771066.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771067.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771068.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771070.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771072.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771074.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771077.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771080.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771081.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771083.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771086.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771087.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771089.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771091.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771092.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771093.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771097.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771098.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771102.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771104.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771106.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771108.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771110.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771111.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771112.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771115.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771117.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771119.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771120.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771123.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771129.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771133.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771134.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771135.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771136.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771137.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771139.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771140.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771141.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771144.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771145.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771147.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771150.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771151.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771153.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771154.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771155.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771156.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771158.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771159.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771161.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771162.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771163.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771166.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771168.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771169.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771170.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771171.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771173.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771176.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771177.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771180.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771181.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771183.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771195.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771199.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771204.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771205.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771208.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771212.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771213.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771215.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771217.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771219.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771220.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771221.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771223.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771226.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771228.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771231.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771232.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771236.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771237.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771238.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771239.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771243.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771244.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
MN771246.1	TTV-like mini virus	Betatorquevirus	Anelloviridae	clareaulab
