accession	virus_name	genus	family	source
MH649051.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649056.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649061.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649062.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649063.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649068.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649070.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649077.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649083.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649084.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649085.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649087.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649092.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649101.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649104.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649106.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649109.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649113.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649114.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649122.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649125.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649127.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649129.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649137.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649141.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649142.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649144.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649152.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649156.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649157.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649158.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649161.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649165.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649172.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649174.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649178.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649183.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649185.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649186.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649189.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649199.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649204.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649209.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649210.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649212.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649217.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649223.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649224.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649228.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649229.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649241.1	Anelloviridae sp.	Betatorquevirus	Anelloviridae	clareaulab
MH649242.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649254.1	Anelloviridae sp.	Anelloviridae	Anelloviridae	clareaulab
MH649255.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
MH649256.1	Anelloviridae sp.	Alphatorquevirus	Anelloviridae	clareaulab
